,A,B,C,D
2000-01-01,0.4022584477355682,0.036379058097839874,-2.2799714298051525,-0.17855231824237527
2000-01-02,-0.012239872358615123,0.37099163890844744,-2.1343781018388555,-0.1768419472577289
2000-01-03,-0.9228224854750634,0.8865538924192561,-2.637110656770972,-0.26503457872106495
2000-01-04,-2.677224051028403,0.13097406613639173,-2.720433995942535,-0.026664301840894883
2000-01-05,-3.0965637468742253,0.4292301537223504,-2.4122835517718726,1.1031194721928947
2000-01-06,-3.891895519628992,0.418567998207077,-2.3887551119108372,0.5628767679538551
2000-01-07,-1.6025777940713613,0.6823381072964149,-2.043430828916118,1.7910078278534862
2000-01-08,-2.0343927601100296,1.7291409630716044,-1.5851115834686755,2.8404685728937373
2000-01-09,-1.7859752480631403,1.7597507488067972,-0.5436839788826098,2.6840306643980525
2000-01-10,-2.774493903144049,2.789303583517858,-0.7368621615740956,2.4315917989024487
2000-01-11,-2.084211350029534,1.7368608828704,1.0759891827818902,1.2973611632939321
2000-01-12,-2.391834961292056,0.225067254690551,3.9854942902077184,0.05681287831198634
2000-01-13,-3.966715626373318,1.6214404474623978,4.387685016240797,-0.1469648353119351
2000-01-14,-4.557282694325126,1.3582348149934023,3.728555904828049,-0.9927939657763407
2000-01-15,-6.229500859188649,0.22747776526654273,3.782932467261331,-2.3739640189946583
2000-01-16,-5.919922396529978,-0.945715665433601,4.1302710828486715,-2.883244249579863
2000-01-17,-7.136781502289065,0.5689425919749183,3.9267339944694926,-2.773706705461175
2000-01-18,-6.5307123887697065,-0.9707236085976114,4.797968055957609,-3.800427216941137
2000-01-19,-7.82970947332471,-1.6156017476275384,3.7357142244834507,-4.089672619265675
2000-01-20,-9.39204556377541,-0.8545637257726362,3.4370573261619244,-2.443871547832372
2000-01-21,-8.406773588154328,-1.4874150666842532,3.4305652292850626,-1.623159516050905
2000-01-22,-9.07254299851569,-2.5868698117217344,3.553454325484695,-2.1556151496891225
2000-01-23,-8.945636089118617,-3.4365467776791068,4.2974043456255275,-2.303839481053951
2000-01-24,-8.95394098539771,-3.365967847443176,5.080729955259641,-1.351256783795143
2000-01-25,-9.25796110072118,-3.320794528867964,4.451864996570992,-0.1646957619554874
2000-01-26,-8.959137335844598,-2.9089222626103375,3.7746936920787144,-1.0333111969860425
2000-01-27,-8.423318582853655,-2.4149093484055486,3.932184486273121,-1.4386396438492945
2000-01-28,-10.33427817791834,-2.6414275845626785,4.028483622092908,-2.073587721124953
2000-01-29,-8.903674894264965,-2.974461649783251,3.589000210466447,-3.057364691037696
2000-01-30,-9.146764856102955,-4.187697075758926,4.442634690826872,-2.545997767736545
2000-01-31,-9.837653725916912,-3.673710602239643,4.107222544759377,-3.771300686394222
2000-02-01,-9.589780841373184,-2.936130968032667,2.291630616208752,-3.216580647609705
2000-02-02,-9.883606755267087,-2.7780728050883945,2.8602731690815952,-3.7678020407835695
2000-02-03,-8.384534675697768,-2.811758052708712,3.3790625844582998,-5.122471846047144
2000-02-04,-6.878973934990789,-2.301762151960201,3.1217423119193817,-5.094524226922292
2000-02-05,-6.642149698552892,-2.4047371422440085,2.1964063500053936,-3.4634751736270397
2000-02-06,-7.711893144978456,-2.0685314763674776,1.6494895547899964,-1.57896835692925
